id,scientificName,taxonID,genus,year,country,countryCode,stateProvince,decimalLatitude,decimalLongitude,verbatimCoordinates
4450935,Usnea hirta,54670,Usnea,2002,United States,US,Arizona,34.659194,-111.547208,"34.659194° N, 111.547208° W"
4450936,Usnea hirta,54670,Usnea,2002,United States,US,Arizona,34.659194,-111.547208,"34.659194° N, 111.547208° W"
4450944,Usnea hirta,54670,Usnea,2002,United States,US,Arizona,34.659194,-111.547208,"34.659194° N, 111.547208° W"
4450957,Usnea hirta,54670,Usnea,2002,United States,US,Arizona,32.355108,-110.098662,"32.355108° N, 110.098662° W"
4450958,Usnea hirta,54670,Usnea,2002,United States,US,Arizona,32.355108,-110.098662,"32.355108° N, 110.098662° W"
4451152,Usnea,52074,Usnea,2007,United States,US,Utah,40.517485,-110.290212,"40.517485° N, 110.290212° W"
4451174,Usnea lapponica,54671,Usnea,2007,United States,US,Utah,40.595697,-110.167932,"40.595697° N, 110.167932° W"
4451175,Usnea lapponica,54671,Usnea,2007,United States,US,Utah,40.595697,-110.167932,"40.595697° N, 110.167932° W"
4451176,Usnea lapponica,54671,Usnea,2007,United States,US,Utah,40.595697,-110.167932,"40.595697° N, 110.167932° W"
4451305,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,32.715361,-109.82113,"32.715361° N, 109.82113° W"
4451325,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,33.498599,-109.365526,"33.498599° N, 109.365526° W"
4451332,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,33.698021,-109.489286,"33.698021° N, 109.489286° W"
4451338,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,33.484062,-110.030652,"33.484062° N, 110.030652° W"
4451354,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,33.97883,-111.002602,"33.97883° N, 111.002602° W"
4451361,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,34.193477,-109.760525,"34.193477° N, 109.760525° W"
4451368,Usnea,52074,Usnea,2001,United States,US,Arizona,33.570456,-109.708251,"33.570456° N, 109.708251° W"
4451377,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,34.250458,-110.895436,"34.250458° N, 110.895436° W"
4451384,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,34.478606,-110.999954,"34.478606° N, 110.999954° W"
4451415,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,35.688707,-109.337347,"35.688707° N, 109.337347° W"
4451416,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,35.688707,-109.337347,"35.688707° N, 109.337347° W"
4451424,Usnea hirta,54670,Usnea,2001,United States,US,Arizona,35.925933,-109.896423,"35.925933° N, 109.896423° W"
