Index,City,State,Population Density (Persons/Square Mile),2016 Population,Area,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",OtherCity,OtherState,County,Zip,Country,Source
72,Toledo," Ohio",3452,278508,81,41.720684,-83.569359,1,place,,,,,Toledo,OH,"Lucas County",43601,US,"TIGER/Line® dataset from the US Census Bureau"
73,Orlando," Florida",2707,277173,102,28.545179,-81.373291,1,place,,,,,Orlando,FL,"Orange County",32801,US,"TIGER/Line® dataset from the US Census Bureau"
74,"Chula Vista"," California",5383,267172,50,32.636922,-117.050072,1,place,,,,,"Chula Vista",CA,"San Diego County",91910,US,"TIGER/Line® dataset from the US Census Bureau"
75,Irvine," California",4025,266122,66,33.757245,-117.750414,1,place,,,,,Irvine,CA,"Orange County",92602,US,"TIGER/Line® dataset from the US Census Bureau"
76,"Fort Wayne"," Indiana",2391,264488,111,41.065397,-85.15842,1,place,,,,,"Fort Wayne",IN,"Allen County",46802,US,"TIGER/Line® dataset from the US Census Bureau"
77,"Jersey City"," New Jersey",17860,264152,15,40.726001,-74.047304,1,place,,,,,"Jersey City",NJ,"Hudson County",07302,US,"TIGER/Line® dataset from the US Census Bureau"
78,Durham," North Carolina",2450,263016,107,35.99924,-78.897944,1,place,,,,,Durham,NC,"Durham County",27701,US,"TIGER/Line® dataset from the US Census Bureau"
79,"St. Petersburg"," Florida",4227,260999,62,27.775654,-82.64092,1,place,,,,,"Saint Petersburg",FL,"Pinellas County",33701,US,"TIGER/Line® dataset from the US Census Bureau"
80,Laredo," Texas",2892,257156,89,27.515879,-99.494078,1,place,,,,,Laredo,TX,"Webb County",78040,US,"TIGER/Line® dataset from the US Census Bureau"
81,Buffalo," New York",6362,256902,40,42.89606,-78.886424,1,place,,,,,Buffalo,NY,"Erie County",14201,US,"TIGER/Line® dataset from the US Census Bureau"
82,Madison," Wisconsin",3289,252551,77,43.060926,-88.230636,1,place,,,,,Madison,WI,"Waukesha County",53702,US,"TIGER/Line® dataset from the US Census Bureau"
83,Lubbock," Texas",2063,252506,122,33.588771,-101.850445,1,place,,,,,Lubbock,TX,"Lubbock County",79401,US,"TIGER/Line® dataset from the US Census Bureau"
84,Chandler," Arizona",3842,247477,64,33.324113,-111.878217,1,place,,,,,Chandler,AZ,"Maricopa County",85224,US,"TIGER/Line® dataset from the US Census Bureau"
85,Scottsdale," Arizona",1341,246645,184,33.534451,-111.887354,1,place,,,,,Scottsdale,AZ,"Maricopa County",85250,US,"TIGER/Line® dataset from the US Census Bureau"
86,Glendale," Arizona",4100,245895,60,33.531753,-112.177935,1,place,,,,,Glendale,AZ,"Maricopa County",85301,US,"TIGER/Line® dataset from the US Census Bureau"
87,Reno," Nevada",2381,245255,103,39.525749,-119.813051,1,place,,,,,Reno,NV,"Washoe County",89501,US,"TIGER/Line® dataset from the US Census Bureau"
88,Norfolk," Virginia",4529,245115,54,36.895911,-76.208521,1,place,,,,,Norfolk,VA,"Norfolk City",23501,US,"TIGER/Line® dataset from the US Census Bureau"
89,Winston-Salem," North Carolina",1829,242203,132,36.111102,-80.200493,1,place,,,,,"Winston Salem",NC,"Forsyth County",27101,US,"TIGER/Line® dataset from the US Census Bureau"
90,"North Las Vegas"," Nevada",2355,238702,101,36.211456,-115.124148,1,place,,,,,"North Las Vegas",NV,"Clark County",89030,US,"TIGER/Line® dataset from the US Census Bureau"
91,Irving," Texas",3555,238289,67,32.767268,-96.777626,1,place,,,,,Irving,TX,"Dallas County",75015,US,"TIGER/Line® dataset from the US Census Bureau"
92,Chesapeake," Virginia",698,237940,341,36.749991,-76.218759,1,place,,,,,Chesapeake,VA,"Chesapeake City",23320,US,"TIGER/Line® dataset from the US Census Bureau"
93,Gilbert," Arizona",3489,237133,68,33.335401,-111.815281,1,place,,,,,Gilbert,AZ,"Maricopa County",85233,US,"TIGER/Line® dataset from the US Census Bureau"
94,Hialeah," Florida",11020,236387,21,25.909809,-80.388874,1,place,,,,,Hialeah,FL,"Miami-Dade County",33018,US,"TIGER/Line® dataset from the US Census Bureau"
95,Garland," Texas",4116,234943,57,32.931523,-96.615821,1,place,,,,,Garland,TX,"Dallas County",75040,US,"TIGER/Line® dataset from the US Census Bureau"
96,Fremont," California",3010,233136,77,37.565285,-121.982721,1,place,,,,,Fremont,CA,"Alameda County",94536,US,"TIGER/Line® dataset from the US Census Bureau"
97,"Baton Rouge"," Louisiana",2959,227715,77,30.44924,-91.185607,1,place,,,,,"Baton Rouge",LA,"East Baton Rouge Parish",70801,US,"TIGER/Line® dataset from the US Census Bureau"
98,Richmond," Virginia",3731,223170,60,37.524246,-77.493157,1,place,,,,,Richmond,VA,"Richmond City",23218,US,"TIGER/Line® dataset from the US Census Bureau"
99,"Boise City"," Idaho",2812,223154,79,43.603768,-116.272921,1,place,,,,,Boise,ID,"Ada County",83701,US,"TIGER/Line® dataset from the US Census Bureau"
100,"San Bernardino"," California",3653,216239,59,34.104794,-117.29215,1,place,,,,,"San Bernardino",CA,"San Bernardino County",92401,US,"TIGER/Line® dataset from the US Census Bureau"
101,Spokane," Washington",3645,215973,59,47.66264,-117.435997,1,place,,,,,Spokane,WA,"Spokane County",99201,US,"TIGER/Line® dataset from the US Census Bureau"
102,"Des Moines"," Iowa",2664,215472,81,41.672687,-93.572173,1,place,,,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
103,Modesto," California",5755,212175,37,37.669463,-121.016796,1,place,,,,,Modesto,CA,"Stanislaus County",95350,US,"TIGER/Line® dataset from the US Census Bureau"
104,Birmingham," Alabama",1452,212157,146,33.456412,-86.801904,1,place,,,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® dataset from the US Census Bureau"
105,Tacoma," Washington",4249,211277,50,47.250158,-122.43903,1,place,,,,,Tacoma,WA,"Pierce County",98402,US,"TIGER/Line® dataset from the US Census Bureau"
106,Fontana," California",4941,209665,42,34.103288,-117.4363,1,place,,,,,Fontana,CA,"San Bernardino County",92334,US,"TIGER/Line® dataset from the US Census Bureau"
107,Rochester," New York",5838,208880,36,43.156612,-77.604023,1,place,,,,,Rochester,NY,"Monroe County",14604,US,"TIGER/Line® dataset from the US Census Bureau"
108,Oxnard," California",7732,207906,27,34.205247,-119.174092,1,place,,,,,Oxnard,CA,"Ventura County",93030,US,"TIGER/Line® dataset from the US Census Bureau"
109,"Moreno Valley"," California",4008,205499,51,33.88274,-117.224878,1,place,,,,,"Moreno Valley",CA,"Riverside County",92551,US,"TIGER/Line® dataset from the US Census Bureau"
110,Fayetteville," North Carolina",1404,204759,146,35.0748,-78.884257,1,place,,,,,Fayetteville,NC,"Cumberland County",28301,US,"TIGER/Line® dataset from the US Census Bureau"
111,Aurora," Illinois",4475,201110,45,41.747452,-88.238622,1,place,,,,,Aurora,IL,"Dupage County",60504,US,"TIGER/Line® dataset from the US Census Bureau"
112,Glendale," California",6595,200831,30,34.17051,-118.289463,1,place,,,,,Glendale,CA,"Los Angeles County",91201,US,"TIGER/Line® dataset from the US Census Bureau"
113,Yonkers," New York",11150,200807,18,40.946107,-73.866926,1,place,,,,,Yonkers,NY,"Westchester County",10701,US,"TIGER/Line® dataset from the US Census Bureau"
114,"Huntington Beach"," California",7501,200652,27,33.66205,-117.968459,1,place,,,,,"Huntington Beach",CA,"Orange County",92646,US,"TIGER/Line® dataset from the US Census Bureau"
115,Montgomery," Alabama",1254,200022,160,32.356988,-86.257817,1,place,,,,,Montgomery,AL,"Montgomery County",36101,US,"TIGER/Line® dataset from the US Census Bureau"
116,Amarillo," Texas",2006,199582,99,35.20603,-101.839602,1,place,,,,,Amarillo,TX,"Potter County",79101,US,"TIGER/Line® dataset from the US Census Bureau"
117,"Little Rock"," Arkansas",1666,198541,119,34.746905,-92.280049,1,place,,,,,"Little Rock",AR,"Pulaski County",72201,US,"TIGER/Line® dataset from the US Census Bureau"
118,Akron," Ohio",3186,197633,62,41.04349,-81.524017,1,place,,,,,Akron,OH,"Summit County",44301,US,"TIGER/Line® dataset from the US Census Bureau"
119,Columbus," Georgia",913,197485,216,32.472864,-84.97823,1,place,,,,,Columbus,GA,"Muscogee County",31901,US,"TIGER/Line® dataset from the US Census Bureau"
120,"Augusta-Richmond County"," Georgia",652,197081,302,33.456687,-81.969184,1,place,,,,,Augusta,GA,"Richmond County",30901,US,"TIGER/Line® dataset from the US Census Bureau"
121,"Grand Rapids"," Michigan",4424,196445,44,42.956176,-85.660693,1,place,,,,,"Grand Rapids",MI,"Kent County",49503,US,"TIGER/Line® dataset from the US Census Bureau"
122,Shreveport," Louisiana",1850,194920,105,32.498202,-93.750228,1,place,,,,,Shreveport,LA,"Caddo Parish",71101,US,"TIGER/Line® dataset from the US Census Bureau"
123,"Salt Lake City"," Utah",1744,193744,111,40.756095,-111.900719,1,place,,,,,"Salt Lake City",UT,"Salt Lake County",84101,US,"TIGER/Line® dataset from the US Census Bureau"
124,Huntsville," Alabama",924,193079,209,34.718428,-86.556439,1,place,,,,,Huntsville,AL,"Madison County",35801,US,"TIGER/Line® dataset from the US Census Bureau"
125,Mobile," Alabama",1387,192904,139,30.701142,-88.103184,1,place,,,,,Mobile,AL,"Mobile County",36601,US,"TIGER/Line® dataset from the US Census Bureau"
126,Tallahassee," Florida",1904,190894,100,30.427753,-84.258472,1,place,,,,,Tallahassee,FL,"Leon County",32301,US,"TIGER/Line® dataset from the US Census Bureau"
127,"Grand Prairie"," Texas",2645,190682,72,32.776671,-97.009389,1,place,,,,,"Grand Prairie",TX,"Dallas County",75050,US,"TIGER/Line® dataset from the US Census Bureau"
128,"Overland Park"," Kansas",2525,188966,75,39.02315,-94.669467,0.9,place,,,,,"Overland Park",KS,"Johnson County",66202,US,"TIGER/Line® dataset from the US Census Bureau"
129,Knoxville," Tennessee",1890,186239,99,36.032334,-83.884804,1,place,,,,,Knoxville,TN,"Knox County",37901,US,"TIGER/Line® dataset from the US Census Bureau"
130,"Port St. Lucie"," Florida",1625,185132,114,27.312492,-80.313322,1,place,,,,,"Port Saint Lucie",FL,"St. Lucie County",34952,US,"TIGER/Line® dataset from the US Census Bureau"
131,Worcester," Massachusetts",4937,184508,37,42.265275,-71.879415,1,place,,,,,Worcester,MA,"Worcester County",01601,US,"TIGER/Line® dataset from the US Census Bureau"
